LULC,SWAT_Value,GNLM_Value,SWAT_Name,GNLM_Name,Area,total_crop_area,CropGroup_LanduseGroup,Include
MAPL,33,2200,Maple,"Vineyards (includes table grapes, wine grapes, and raisins)",6140000,48227500,Vineyards,
MAPL,33,2016,Maple,"Flowers, nursery, Christmas tree farms",10155000,48227500,Vegetables and Berries,
OLIV,34,3,Olives,Annual Grassland,19217500,188005000,Native Pasture,
ONIO,35,1601,Onion,Alfalfa,13310000,155660000,"Alfalfa, Clover",
ONIO,35,600,Onion,"Field Crops (includes Flax, Hops, Castor Beans, Miscellaneous Field, and Millet)",14245000,155660000,Field Crops,
ONIO,35,2015,Onion,Tomatoes (processing),21090000,155660000,Vegetables and Berries,
ONIO,35,601,Onion,Cotton,53920000,155660000,Cotton,
ORCP,37,1601,Pomegranates,Alfalfa,11002500,130657500,"Alfalfa, Clover",
ORCP,37,700,Pomegranates,Grain and Hay (includes miscellaneous),14872500,130657500,Grain and Hay,
ORCP,37,601,Pomegranates,Cotton,21007500,130657500,Cotton,
PASM,40,606,Moderate Pasture,Corn (Field and Sweet),18522500,198420000,"Corn, Sorghum, Sudan",
PEPP,43,2200,Peppers,"Vineyards (includes table grapes, wine grapes, and raisins)",10940000,127145000,Vineyards,
PEPP,43,700,Peppers,Grain and Hay (includes miscellaneous),14735000,127145000,Grain and Hay,
PINE,44,9,Pine,Blue Oak Woodland,1232800000,7691595000,Shrub/Forest,
PINE,44,3,Pine,Annual Grassland,3184620000,7691595000,Native Pasture,
POTA,45,412,Potato,Almonds,15172500,126172500,Nuts,
POTA,45,700,Potato,Grain and Hay (includes miscellaneous),29910000,126172500,Grain and Hay,
PTBB,46,601,Beans Dry,Cotton,15037500,160942500,Cotton,
PTBB,46,2015,Beans Dry,Tomatoes (processing),15880000,160942500,Vegetables and Berries,
PTBB,46,700,Beans Dry,Grain and Hay (includes miscellaneous),18475000,160942500,Grain and Hay,
PTBB,46,1601,Beans Dry,Alfalfa,19207500,160942500,"Alfalfa, Clover",
PTBB,46,606,Beans Dry,Corn (Field and Sweet),19385000,160942500,"Corn, Sorghum, Sudan",
RICW,48,608,Wild Rice,Sudan,1170000,9200000,"Corn, Sorghum, Sudan",
RICW,48,602,Wild Rice,Safflower,1967500,9200000,Field Crops,
RICW,48,606,Wild Rice,Corn (Field and Sweet),2442500,9200000,"Corn, Sorghum, Sudan",
SUNF,51,1601,Sunflower,Alfalfa,20015000,200712500,"Alfalfa, Clover",
SUNF,51,1800,Sunflower,Rice (includes rice & wild rice subclasses),20655000,200712500,Rice,
SUNF,51,606,Sunflower,Corn (Field and Sweet),24530000,200712500,"Corn, Sorghum, Sudan",
SUNF,51,2015,Sunflower,Tomatoes (processing),38932500,200712500,Vegetables and Berries,
SUNS,52,2015,Safflower,Tomatoes (processing),14085000,159617500,Vegetables and Berries,
SUNS,52,700,Safflower,Grain and Hay (includes miscellaneous),14842500,159617500,Grain and Hay,
SUNS,52,601,Safflower,Cotton,49155000,159617500,Cotton,
TOMA,53,700,Tomato,Grain and Hay (includes miscellaneous),126015000,1172432500,Grain and Hay,
TOMA,53,1601,Tomato,Alfalfa,126787500,1172432500,"Alfalfa, Clover",
TOMA,53,601,Tomato,Cotton,289090000,1172432500,Cotton,
WETL,56,1800,Wetlands-Mixed,Rice (includes rice & wild rice subclasses),142232500,1660557500,Rice,
WETL,56,3,Wetlands-Mixed,Annual Grassland,595772500,1660557500,Native Pasture,
WWHT,57,1601,Winter Wheat,Alfalfa,79607500,593012500,"Alfalfa, Clover",
WWHT,57,601,Winter Wheat,Cotton,108785000,593012500,Cotton,
